vej_stykke_paavirket,bygning_paavirket
bytes=0-12943,bytes=0-12943
bytes=18960-38159,bytes=10744-24823
bytes=257240-262359,bytes=123144-340103
bytes=561240-563159,bytes=1922704-1962383
bytes=4077880-4142519,bytes=30731864-30758783
bytes=8932920-8956599,bytes=31049944-31331583
bytes=65202120-65238639,bytes=85776344-85964543
bytes=65831240-66231279,bytes=438412800-438743887
bytes=142878920-142879639,bytes=443135072-443564055
bytes=143253960-143254679,bytes=444650112-446388487
bytes=748130144-748366007,bytes=446669392-447450679
bytes=752345184-752530375,bytes=446669392-447450679
bytes=753130952-755018623,bytes=446669392-447450679
